SimStep,Vol,Pseudo,L,R,RL,P,pP
6.64,1,1,0,1.951670522,0.048329478,7.054554328,0.945445672
6.65,1,1,0,1.952153817,0.047846183,7.062461123,0.937538877
6.66,1,1,0,1.952632278,0.047367722,7.07031258,0.92968742
6.67,1,1,0,1.953105956,0.046894044,7.078108927,0.921891073
6.68,1,1,0,1.953574896,0.046425104,7.08585039,0.91414961
6.69,1,1,0,1.954039147,0.045960853,7.093537198,0.906462802
6.7,1,1,0,1.954498756,0.045501244,7.101169581,0.898830419
6.71,1,1,0,1.954953768,0.045046232,7.10874777,0.89125223
6.72,1,1,0,1.95540423,0.04459577,7.116271999,0.883728001
6.73,1,1,0,1.955850188,0.044149812,7.123742502,0.876257498
6.74,1,1,0,1.956291686,0.043708314,7.131159513,0.868840487
6.75,1,1,0,1.956728769,0.043271231,7.13852327,0.86147673
6.76,1,1,0,1.957161482,0.042838518,7.145834011,0.854165989
6.77,1,1,0,1.957589867,0.042410133,7.153091974,0.846908026
6.78,1,1,0,1.958013968,0.041986032,7.1602974,0.8397026
6.79,1,1,0,1.958433829,0.041566171,7.16745053,0.83254947
6.8,1,1,0,1.95884949,0.04115051,7.174551605,0.825448395
6.81,1,1,0,1.959260995,0.040739005,7.18160087,0.81839913
6.82,1,1,0,1.959668385,0.040331615,7.188598567,0.811401433
6.83,1,1,0,1.960071702,0.039928298,7.195544943,0.804455057
6.84,1,1,0,1.960470985,0.039529015,7.202440243,0.797559757
6.85,1,1,0,1.960866275,0.039133725,7.209284713,0.790715287
6.86,1,1,0,1.961257612,0.038742388,7.216078602,0.783921398
6.87,1,1,0,1.961645036,0.038354964,7.222822157,0.777177843
6.88,1,1,0,1.962028585,0.037971415,7.229515627,0.770484373
6.89,1,1,0,1.9624083,0.0375917,7.236159262,0.763840738
6.9,1,1,0,1.962784217,0.037215783,7.242753312,0.757246688
6.91,1,1,0,1.963156374,0.036843626,7.249298029,0.750701971
6.92,1,1,0,1.963524811,0.036475189,7.255793662,0.744206338
6.93,1,1,0,1.963889563,0.036110437,7.262240466,0.737759534
6.94,1,1,0,1.964250667,0.035749333,7.268638691,0.731361309
6.95,1,1,0,1.96460816,0.03539184,7.274988591,0.725011409
6.96,1,1,0,1.964962079,0.035037921,7.28129042,0.71870958
6.97,1,1,0,1.965312458,0.034687542,7.28754443,0.71245557
6.98,1,1,0,1.965659333,0.034340667,7.293750877,0.706249123
6.99,1,1,0,1.96600274,0.03399726,7.299910015,0.700089985
7,1,1,0,1.966342713,0.033657287,7.306022098,0.693977902
7.01,1,1,0,1.966679285,0.033320715,7.312087382,0.687912618
7.02,1,1,0,1.967012493,0.032987507,7.318106122,0.681893878
7.03,1,1,0,1.967342368,0.032657632,7.324078573,0.675921427
7.04,1,1,0,1.967668944,0.032331056,7.330004992,0.669995008
7.05,1,1,0,1.967992255,0.032007745,7.335885634,0.664114366
7.06,1,1,0,1.968312332,0.031687668,7.341720756,0.658279244
7.07,1,1,0,1.968629209,0.031370791,7.347510613,0.652489387
7.08,1,1,0,1.968942917,0.031057083,7.353255461,0.646744539
7.09,1,1,0,1.969253487,0.030746513,7.358955557,0.641044443
7.1,1,1,0,1.969560953,0.030439047,7.364611157,0.635388843
7.11,1,1,0,1.969865343,0.030134657,7.370222518,0.629777483
7.12,1,1,0,1.97016669,0.02983331,7.375789894,0.624210106
7.13,1,1,0,1.970465023,0.029534977,7.381313544,0.618686456
7.14,1,1,0,1.970760373,0.029239627,7.386793722,0.613206278
7.15,1,1,0,1.971052769,0.028947231,7.392230684,0.607769316
7.16,1,1,0,1.971342241,0.028657759,7.397624687,0.602375313
7.17,1,1,0,1.971628819,0.028371181,7.402975986,0.597024014
7.18,1,1,0,1.97191253,0.02808747,7.408284836,0.591715164
7.19,1,1,0,1.972193405,0.027806595,7.413551492,0.586448508
7.2,1,1,0,1.972471471,0.027528529,7.41877621,0.58122379
7.21,1,1,0,1.972746756,0.027253244,7.423959244,0.576040756
7.22,1,1,0,1.973019289,0.026980711,7.429100849,0.570899151
7.23,1,1,0,1.973289096,0.026710904,7.434201278,0.565798722
7.24,1,1,0,1.973556205,0.026443795,7.439260785,0.560739215
7.25,1,1,0,1.973820643,0.026179357,7.444279624,0.555720376
7.26,1,1,0,1.974082437,0.025917563,7.449258048,0.550741952
7.27,1,1,0,1.974341612,0.025658388,7.45419631,0.54580369
7.28,1,1,0,1.974598196,0.025401804,7.459094661,0.540905339
7.29,1,1,0,1.974852214,0.025147786,7.463953354,0.536046646
7.3,1,1,0,1.975103692,0.024896308,7.468772639,0.531227361
7.31,1,1,0,1.975352655,0.024647345,7.473552768,0.526447232
7.32,1,1,0,1.975599128,0.024400872,7.478293991,0.521706009
7.33,1,1,0,1.975843137,0.024156863,7.482996558,0.517003442
7.34,1,1,0,1.976084706,0.023915294,7.487660718,0.512339282
7.35,1,1,0,1.976323859,0.023676141,7.49228672,0.50771328
7.36,1,1,0,1.97656062,0.02343938,7.496874812,0.503125188
7.37,1,1,0,1.976795014,0.023204986,7.501425242,0.498574758
7.38,1,1,0,1.977027064,0.022972936,7.505938256,0.494061744
7.39,1,1,0,1.977256793,0.022743207,7.510414102,0.489585898
7.4,1,1,0,1.977484225,0.022515775,7.514853025,0.485146975
7.41,1,1,0,1.977709383,0.022290617,7.51925527,0.48074473
7.42,1,1,0,1.977932289,0.022067711,7.523621082,0.476378918
7.43,1,1,0,1.978152966,0.021847034,7.527950703,0.472049297
7.44,1,1,0,1.978371437,0.021628563,7.532244379,0.467755621
7.45,1,1,0,1.978587722,0.021412278,7.53650235,0.46349765
7.46,1,1,0,1.978801845,0.021198155,7.540724859,0.459275142
7.47,1,1,0,1.979013827,0.020986173,7.544912146,0.455087855
7.48,1,1,0,1.979223688,0.020776312,7.549064451,0.450935549
7.49,1,1,0,1.979431451,0.020568549,7.553182015,0.446817985
7.5,1,1,0,1.979637137,0.020362863,7.557265075,0.442734925
7.51,1,1,0,1.979840766,0.020159234,7.561313869,0.438686131
7.52,1,1,0,1.980042358,0.019957642,7.565328635,0.434671365
7.53,1,1,0,1.980241934,0.019758066,7.569309609,0.430690391
7.54,1,1,0,1.980439515,0.019560485,7.573257026,0.426742974
7.55,1,1,0,1.98063512,0.01936488,7.57717112,0.42282888
7.56,1,1,0,1.980828769,0.019171231,7.581052126,0.418947874
7.57,1,1,0,1.981020481,0.018979519,7.584900276,0.415099724
7.58,1,1,0,1.981210276,0.018789724,7.588715802,0.411284198
7.59,1,1,0,1.981398173,0.018601827,7.592498935,0.407501065
7.6,1,1,0,1.981584192,0.018415808,7.596249906,0.403750094
7.61,1,1,0,1.98176835,0.01823165,7.599968944,0.400031056
7.62,1,1,0,1.981950666,0.018049334,7.603656277,0.396343723
7.63,1,1,0,1.98213116,0.01786884,7.607312133,0.392687867
7.64,1,1,0,1.982309848,0.017690152,7.610936738,0.389063262
7.65,1,1,0,1.982486749,0.017513251,7.614530319,0.385469681
